spliced	intron
6904226	6904226-I
6904232	6904232-I
6904229	6904229-I
6904233	6904233-I
6904227	6904227-I
6904225	6904225-I
6904224	6904224-I
6904228	6904228-I
6904230	6904230-I
64987955	64987955-I
64987956	64987956-I
6904236	6904236-I
6904242	6904242-I
6904239	6904239-I
6904241	6904241-I
6904238	6904238-I
6904240	6904240-I
6904237	6904237-I
124810224	124810224-I
124810416	124810416-I
105850105	105850105-I
100213146	100213146-I
124813040	124813040-I
124813051	124813051-I
124811500	124811500-I
105843921	105843921-I
124813470	124813470-I
101234299	101234299-I
105847622	105847622-I
100215474	100215474-I
124813077	124813077-I
101238011	101238011-I
100206449	100206449-I
100209075	100209075-I
124807873	124807873-I
100197208	100197208-I
101237144	101237144-I
100200489	100200489-I
124808310	124808310-I
124808364	124808364-I
124812745	124812745-I
124808724	124808724-I
124812750	124812750-I
124812757	124812757-I
124812766	124812766-I
105848791	105848791-I
105848790	105848790-I
124812769	124812769-I
100209872	100209872-I
100204683	100204683-I
100215112	100215112-I
100203211	100203211-I
100205999	100205999-I
100211302	100211302-I
124812787	124812787-I
100197309	100197309-I
100199191	100199191-I
100214668	100214668-I
124815555	124815555-I
100199391	100199391-I
124813124	124813124-I
124809609	124809609-I
100200916	100200916-I
124813162	124813162-I
124809987	124809987-I
124812824	124812824-I
105850199	105850199-I
124812886	124812886-I
105846452	105846452-I
124810025	124810025-I
100202655	100202655-I
100206273	100206273-I
124813176	124813176-I
105845201	105845201-I
100204430	100204430-I
124810300	124810300-I
100213987	100213987-I
100205710	100205710-I
100198371	100198371-I
100207067	100207067-I
124812902	124812902-I
124813184	124813184-I
124810565	124810565-I
105846036	105846036-I
124812963	124812963-I
124810908	124810908-I
105844730	105844730-I
101240360	101240360-I
124811043	124811043-I
100202903	100202903-I
105846155	105846155-I
101241019	101241019-I
124812994	124812994-I
124811501	124811501-I
100208086	100208086-I
100214132	100214132-I
124811658	124811658-I
105850162	105850162-I
100215051	100215051-I
100200758	100200758-I
124813190	124813190-I
105847386	105847386-I
124811836	124811836-I
124811960	124811960-I
124813207	124813207-I
101240521	101240521-I
124812167	124812167-I
105850143	105850143-I
124812230	124812230-I
124813214	124813214-I
124813217	124813217-I
100198382	100198382-I
124812374	124812374-I
124812324	124812324-I
105848155	105848155-I
100207269	100207269-I
100210784	100210784-I
124812688	124812688-I
100192289	100192289-I
124812756	124812756-I
124814102	124814102-I
105848280	105848280-I
100207310	100207310-I
124814111	124814111-I
124813374	124813374-I
100204715	100204715-I
100201090	100201090-I
100208330	100208330-I
124813503	124813503-I
105849708	105849708-I
124814161	124814161-I
100203631	100203631-I
105849719	105849719-I
100200434	100200434-I
124813767	124813767-I
100197496	100197496-I
101236803	101236803-I
124813996	124813996-I
100200735	100200735-I
101235501	101235501-I
124814087	124814087-I
100197847	100197847-I
124814244	124814244-I
100202271	100202271-I
105845370	105845370-I
100214754	100214754-I
100206296	100206296-I
124813254	124813254-I
124815605	124815605-I
124815651	124815651-I
124815660	124815660-I
124814910	124814910-I
101239736	101239736-I
124815664	124815664-I
105844628	105844628-I
124815521	124815521-I
100207346	100207346-I
124815275	124815275-I
124815293	124815293-I
100204398	100204398-I
100207964	100207964-I
100210440	100210440-I
124815839	124815839-I
100204271	100204271-I
100201039	100201039-I
100208204	100208204-I
100204677	100204677-I
100197706	100197706-I
100209787	100209787-I
124814266	124814266-I
100198433	100198433-I
105846258	105846258-I
105847220	105847220-I
101235810	101235810-I
101235721	101235721-I
124815561	124815561-I
105843708	105843708-I
100215460	100215460-I
100202412	100202412-I
124817013	124817013-I
100205967	100205967-I
105850477	105850477-I
124814285	124814285-I
124817591	124817591-I
124813267	124813267-I
124814292	124814292-I
124818001	124818001-I
124813269	124813269-I
100202604	100202604-I
124818408	124818408-I
100200477	100200477-I
100212979	100212979-I
100197558	100197558-I
100201131	100201131-I
124818731	124818731-I
124818829	124818829-I
124814070	124814070-I
124818937	124818937-I
100207968	100207968-I
100211491	100211491-I
100215087	100215087-I
100198850	100198850-I
100199276	100199276-I
124805934	124805934-I
124806099	124806099-I
101240155	101240155-I
124806180	124806180-I
124813279	124813279-I
105848591	105848591-I
124806328	124806328-I
124806295	124806295-I
124806364	124806364-I
124806568	124806568-I
124806617	124806617-I
124813287	124813287-I
124813291	124813291-I
105844130	105844130-I
124814325	124814325-I
100215718	100215718-I
105845337	105845337-I
124807239	124807239-I
101239389	101239389-I
100201776	100201776-I
124814340	124814340-I
124813296	124813296-I
105844713	105844713-I
124813301	124813301-I
124813311	124813311-I
105843246	105843246-I
124813317	124813317-I
124813322	124813322-I
124807579	124807579-I
124813328	124813328-I
124814356	124814356-I
124813332	124813332-I
101235323	101235323-I
101235885	101235885-I
101241849	101241849-I
100197659	100197659-I
124807636	124807636-I
124807638	124807638-I
124813339	124813339-I
100213388	100213388-I
124807646	124807646-I
124807658	124807658-I
124807651	124807651-I
124813354	124813354-I
100204660	100204660-I
100215979	100215979-I
100200458	100200458-I
124813358	124813358-I
100211090	100211090-I
100214656	100214656-I
124807697	124807697-I
105844961	105844961-I
100197205	100197205-I
124814391	124814391-I
124813362	124813362-I
124813365	124813365-I
124807709	124807709-I
124807715	124807715-I
105845902	105845902-I
100200834	100200834-I
100208422	100208422-I
100205347	100205347-I
100206264	100206264-I
124807743	124807743-I
124807745	124807745-I
124813379	124813379-I
124814403	124814403-I
100210959	100210959-I
101235687	101235687-I
124807754	124807754-I
100203636	100203636-I
124807765	124807765-I
124807770	124807770-I
105847978	105847978-I
124807778	124807778-I
124813390	124813390-I
124814411	124814411-I
100215973	100215973-I
124815566	124815566-I
101239975	101239975-I
105847230	105847230-I
124815569	124815569-I
100207371	100207371-I
100210906	100210906-I
100203789	100203789-I
105846393	105846393-I
100209742	100209742-I
100198866	100198866-I
100205007	100205007-I
124813400	124813400-I
100207432	100207432-I
101237253	101237253-I
100202526	100202526-I
105847567	105847567-I
124807868	124807868-I
124807874	124807874-I
105849833	105849833-I
100202594	100202594-I
124813409	124813409-I
105847937	105847937-I
124813413	124813413-I
124813418	124813418-I
105849335	105849335-I
124807905	124807905-I
124807908	124807908-I
100200487	100200487-I
105846394	105846394-I
105850058	105850058-I
124807933	124807933-I
105847111	105847111-I
105849163	105849163-I
124807947	124807947-I
124813426	124813426-I
124807952	124807952-I
100211975	100211975-I
124807970	124807970-I
100199617	100199617-I
101240704	101240704-I
124807991	124807991-I
100207204	100207204-I
100204854	100204854-I
124807998	124807998-I
100199509	100199509-I
124815527	124815527-I
124813430	124813430-I
105848954	105848954-I
124815522	124815522-I
124813433	124813433-I
101239277	101239277-I
124808021	124808021-I
124808029	124808029-I
124814467	124814467-I
101234350	101234350-I
124814478	124814478-I
100203940	100203940-I
124808057	124808057-I
124808061	124808061-I
100202146	100202146-I
100202460	100202460-I
100199666	100199666-I
124808124	124808124-I
124808154	124808154-I
105843248	105843248-I
100210370	100210370-I
100206921	100206921-I
100206838	100206838-I
100203340	100203340-I
100203263	100203263-I
100211486	100211486-I
100204046	100204046-I
100215169	100215169-I
101238030	101238030-I
124814493	124814493-I
124808269	124808269-I
100215110	100215110-I
100200809	100200809-I
101238022	101238022-I
124808363	124808363-I
101239932	101239932-I
124813440	124813440-I
100215919	100215919-I
100199272	100199272-I
100212310	100212310-I
100212226	100212226-I
100197494	100197494-I
100201060	100201060-I
124808427	124808427-I
100211192	100211192-I
124813446	124813446-I
101238034	101238034-I
124808466	124808466-I
100199329	100199329-I
100207697	100207697-I
100214797	100214797-I
124813457	124813457-I
100204492	100204492-I
100198047	100198047-I
105844709	105844709-I
100200212	100200212-I
124808548	124808548-I
100212677	100212677-I
101238014	101238014-I
101238112	101238112-I
100201516	100201516-I
105844692	105844692-I
124813459	124813459-I
101238615	101238615-I
100208605	100208605-I
105843286	105843286-I
100210940	100210940-I
105847599	105847599-I
100212316	100212316-I
105849159	105849159-I
100208582	100208582-I
105849132	105849132-I
100200589	100200589-I
124814556	124814556-I
124813463	124813463-I
100211891	100211891-I
100203233	100203233-I
124808814	124808814-I
100199638	100199638-I
100215130	100215130-I
124813466	124813466-I
101237409	101237409-I
100197600	100197600-I
124808881	124808881-I
100203559	100203559-I
100209483	100209483-I
105844350	105844350-I
100205866	100205866-I
100208194	100208194-I
101237693	101237693-I
124814560	124814560-I
100210252	100210252-I
100213789	100213789-I
100205201	100205201-I
100206486	100206486-I
124813471	124813471-I
124808937	124808937-I
100206981	100206981-I
100214102	100214102-I
100213528	100213528-I
100214237	100214237-I
124808954	124808954-I
124808964	124808964-I
100203550	100203550-I
124809002	124809002-I
124809005	124809005-I
101238976	101238976-I
124814571	124814571-I
105848799	105848799-I
124809029	124809029-I
124809036	124809036-I
105846194	105846194-I
101239803	101239803-I
124809043	124809043-I
124809048	124809048-I
100202097	100202097-I
100208060	100208060-I
100197756	100197756-I
100208539	100208539-I
124814581	124814581-I
100205130	100205130-I
124814585	124814585-I
124814588	124814588-I
124809131	124809131-I
124809133	124809133-I
124809151	124809151-I
101237090	101237090-I
100212905	100212905-I
101237187	101237187-I
101237360	101237360-I
100197482	100197482-I
100199376	100199376-I
101237017	101237017-I
101239845	101239845-I
100200799	100200799-I
100199605	100199605-I
124813488	124813488-I
100201323	100201323-I
124813492	124813492-I
100215590	100215590-I
100210798	100210798-I
124813497	124813497-I
124814592	124814592-I
124809254	124809254-I
124813504	124813504-I
105848288	105848288-I
105846123	105846123-I
124809262	124809262-I
124814599	124814599-I
124813513	124813513-I
101235239	101235239-I
124815574	124815574-I
105843097	105843097-I
124814602	124814602-I
124809271	124809271-I
100198891	100198891-I
100202457	100202457-I
100197674	100197674-I
101235786	101235786-I
100199171	100199171-I
101236063	101236063-I
100212686	100212686-I
124809314	124809314-I
101236158	101236158-I
100202090	100202090-I
124809318	124809318-I
100212670	100212670-I
124814628	124814628-I
105844802	105844802-I
101240959	101240959-I
124809398	124809398-I
105850048	105850048-I
124809409	124809409-I
105849710	105849710-I
124809428	124809428-I
124809424	124809424-I
105847267	105847267-I
124809452	124809452-I
124809448	124809448-I
124809461	124809461-I
124813536	124813536-I
100197497	100197497-I
105844100	105844100-I
105843590	105843590-I
105843592	105843592-I
124809568	124809568-I
105845975	105845975-I
124809596	124809596-I
124813537	124813537-I
124809673	124809673-I
105847749	105847749-I
105844732	105844732-I
105844733	105844733-I
124809740	124809740-I
105846772	105846772-I
105844228	105844228-I
101236796	101236796-I
101236704	101236704-I
100202591	100202591-I
124813543	124813543-I
124809834	124809834-I
100198519	100198519-I
124815577	124815577-I
105846157	105846157-I
124809883	124809883-I
124809888	124809888-I
124814662	124814662-I
124809893	124809893-I
124815580	124815580-I
124809910	124809910-I
124809914	124809914-I
124809917	124809917-I
100201157	100201157-I
124813551	124813551-I
124809953	124809953-I
100203231	100203231-I
100205880	100205880-I
100197741	100197741-I
100201308	100201308-I
