Cluster ID	Gene ID|Swissprot Annotation	PFAM Annotations	NR Annotation	P value	Adjusted P Value	Average Log Fold Change	Percent Positive Cells in Cluster	Percent Positive Cells Outside of Cluster
i_zymogen_gland_cell	t12067aep	NA	PREDICTED: uncharacterized protein LOC100208683 [Hydra vulgaris]	0	0	5.024733865	1	0.201
i_zymogen_gland_cell	t8678aep	NA	Dickkopf 1/2/4-A protein [Hydra vulgaris]	0	0	4.932047189	1	0.182
i_zymogen_gland_cell	t12595aep|SAP3_MACFA	PF02221	PREDICTED: ganglioside GM2 activator-like [Hydra vulgaris]	0	0	4.711397787	1	0.252
i_zymogen_gland_cell	t2549aep	NA	PREDICTED: uncharacterized protein LOC100208683 [Hydra vulgaris]	0	0	4.634320909	0.577	0.1
i_zymogen_gland_cell	t24687aep|TRY3_SALSA	PF00089	PREDICTED: trypsin-3-like [Hydra vulgaris]	0	0	4.623094393	0.955	0.297
i_zymogen_gland_cell	t21915aep|MCPI_MELCP	PF07648;PF00050	putative serine protease inhibitor [Hydra vulgaris]	0	0	4.469798893	0.969	0.278
i_zymogen_gland_cell	t19254aep	NA	PREDICTED: uncharacterized protein LOC100206800 [Hydra vulgaris]	0	0	4.41736607	0.966	0.112
i_zymogen_gland_cell	t11788aep	NA	PREDICTED: uncharacterized protein LOC100209543 [Hydra vulgaris]	0	0	4.390037321	0.997	0.133
i_zymogen_gland_cell	t18337aep|CEL3B_MOUSE	PF00089;PF13365	PREDICTED: chymotrypsin-like elastase family member 3B [Hydra vulgaris]	0	0	4.237663172	0.92	0.061
i_zymogen_gland_cell	t26211aep	NA	PREDICTED: zebra isoform X1 [Hydra vulgaris]	0	0	4.020594545	0.978	0.416
i_zymogen_gland_cell	t27715aep	PF01549	PREDICTED: zinc metalloproteinase nas-13-like [Hydra vulgaris]	0	0	3.873434989	0.84	0.083
i_zymogen_gland_cell	t11588aep	NA	PREDICTED: uncharacterized protein LOC101238078 [Hydra vulgaris]	0	0	3.863855664	0.991	0.059
